"Vaccine","Dose","Geography Type","Geography","Birth Year/Birth Cohort","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"≥1 Dose MMR","","HHS Regions/National","United States","2019-2020","Age","24 Months","90.9","90.2 to 91.5","34652"
"≥1 Dose MMR","","HHS Regions/National","United States","2020","Age","24 Months","90.2","89.1 to 91.2","17387"
"≥1 Dose MMR","","HHS Regions/National","United States","2021","Age","24 Months","90.2","89.4 to 91.0","17612"
"≥1 Dose MMR","","HHS Regions/National","United States","2011","Age","24 Months","90.1","89.0 to 91.2","14513"
"≥1 Dose MMR","","HHS Regions/National","United States","2012","Age","24 Months","90.6","89.7 to 91.4","15039"
"≥1 Dose MMR","","HHS Regions/National","United States","2013","Age","24 Months","90.3","89.2 to 91.2","14872"
"≥1 Dose MMR","","HHS Regions/National","United States","2013-2014","Age","24 Months","90.0","89.3 to 90.7","30205"
"≥1 Dose MMR","","HHS Regions/National","United States","2014","Age","24 Months","89.8","88.7 to 90.8","15333"
"≥1 Dose MMR","","HHS Regions/National","United States","2014-2015","Age","24 Months","90.3","89.6 to 90.9","30796"
"≥1 Dose MMR","","HHS Regions/National","United States","2015","Age","24 Months","90.8","89.9 to 91.6","15463"
"≥1 Dose MMR","","HHS Regions/National","United States","2015-2016","Age","24 Months","90.8","90.1 to 91.4","31419"
"≥1 Dose MMR","","HHS Regions/National","United States","2016","Age","24 Months","90.8","89.8 to 91.7","15956"
"≥1 Dose MMR","","HHS Regions/National","United States","2016-2017","Age","24 Months","90.6","89.9 to 91.3","33760"
"≥1 Dose MMR","","HHS Regions/National","United States","2017","Age","24 Months","90.4","89.3 to 91.3","17804"
"≥1 Dose MMR","","HHS Regions/National","United States","2017-2018","Age","24 Months","91.3","90.7 to 91.9","36630"
"≥1 Dose MMR","","HHS Regions/National","United States","2018","Age","24 Months","92.3","91.5 to 93.0","18826"
"≥1 Dose MMR","","HHS Regions/National","United States","2018-2019","Age","24 Months","92.0","91.4 to 92.6","36091"
"≥1 Dose MMR","","HHS Regions/National","United States","2019","Age","24 Months","91.5","90.6 to 92.4","17265"
"≥1 Dose MMR","","HHS Regions/National","United States","2020-2021","Age","24 Months","90.2","89.6 to 90.9","34999"
"≥1 Dose MMR","","HHS Regions/National","United States","2022","Age","24 Months","91.4","90.2 to 92.5","9780"
"≥1 Dose MMR","","HHS Regions/National","United States","2021-2022","Age","24 Months","90.8","90.1 to 91.5","27392"
